# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
NCU00100	NCU00100	NCU00100-t26_1	protein_coding	2	43	16	156	2	0	2	74	0	7	16	0	1	0	1	0	1	0	0	42	73
NCU00101	NCU00101	NCU00101-t26_1	protein_coding	0	6	9	165	24	0	4	47	0	0	9	0	0	0	0	0	0	0	0	6	90
NCU00102	NCU00102	NCU00102-t26_1	protein_coding	0	18	3	150	5	5	21	49	0	1	3	0	0	0	0	0	0	0	0	13	74
NCU00103	NCU00103	NCU00103-t26_1	protein_coding	0	3	0	140	6	0	3	71	0	2	0	0	0	0	1	0	0	0	0	2	59
NCU00104	NCU00104	NCU00104-t26_1	protein_coding	0	34	2	143	4	2	3	64	0	0	2	0	0	0	0	0	0	0	0	32	72
NCU00105	NCU00105	NCU00105-t26_1	protein_coding	0	10	0	149	3	0	0	75	0	12	0	0	0	0	3	0	0	0	0	7	62
NCU00106	NCU00106	NCU00106-t26_1	protein_coding	0	16	3	164	3	1	7	70	0	11	3	0	0	0	2	0	0	0	0	13	75
NCU00107	NCU00107	NCU00107-t26_1	protein_coding	0	11	4	154	3	0	0	76	0	1	4	0	0	0	1	0	0	0	0	10	74
NCU00108	NCU00108	NCU00108-t26_1	protein_coding	0	20	3	154	8	1	3	76	0	4	3	0	0	0	1	0	0	0	0	18	64
NCU00109	NCU00109	NCU00109-t26_1	protein_coding	0	14	3	176	31	0	5	60	0	4	3	0	0	0	2	0	0	0	0	12	78
NCU00109	NCU00109	NCU00109-t26_2	protein_coding	0	14	3	177	31	1	8	60	0	1	3	0	0	0	1	0	0	0	0	12	78
NCU00110	NCU00110	NCU00110-t26_1	protein_coding	0	17	7	147	3	0	5	80	0	0	7	0	0	0	0	0	0	0	0	17	59
NCU00111	NCU00111	NCU00111-t26_1	protein_coding	0	3	3	130	1	0	1	60	0	4	3	0	0	0	0	0	0	0	0	3	64
NCU00112	NCU00112	NCU00112-t26_1	protein_coding	0	24	7	134	3	0	1	61	0	3	7	0	0	0	0	0	0	0	0	24	66
NCU00114	NCU00114	NCU00114-t26_1	protein_coding	0	11	1	175	4	0	0	72	0	5	1	0	0	0	0	0	0	0	0	11	94
NCU00115	NCU00115	NCU00115-t26_1	protein_coding	0	10	5	170	15	0	0	80	0	4	5	0	0	0	1	0	0	0	0	9	72
NCU00116	NCU00116	NCU00116-t26_1	protein_coding	0	15	0	182	10	2	11	76	0	2	0	0	0	0	0	0	0	0	0	13	83
NCU00116	NCU00116	NCU00116-t26_2	protein_coding	0	14	0	181	10	1	2	76	0	11	0	0	0	0	0	0	0	0	0	13	82
NCU00116	NCU00116	NCU00116-t26_3	protein_coding	0	14	0	181	10	1	2	76	0	11	0	0	0	0	0	0	0	0	0	13	82
NCU00117	NCU00117	NCU00117-t26_1	protein_coding	0	32	0	191	6	1	7	89	0	9	0	0	0	0	1	0	0	0	0	30	81
NCU00118	NCU00118	NCU00118-t26_1	protein_coding	0	17	8	165	17	0	0	68	0	9	8	0	0	0	4	0	0	0	0	14	74
NCU00119	NCU00119	NCU00119-t26_1	protein_coding	0	30	19	162	4	0	2	81	0	0	19	0	0	0	0	0	0	0	0	30	75
NCU00120	NCU00120	NCU00120-t26_1	protein_coding	0	35	31	151	2	0	0	79	0	0	31	0	0	0	0	0	0	0	0	35	70
NCU00121	NCU00121	NCU00121-t26_1	protein_coding	0	42	5	169	9	3	12	69	0	4	5	0	0	0	2	0	0	0	0	37	77
NCU00122	NCU00122	NCU00122-t26_1	protein_coding	0	23	7	158	8	0	2	72	0	2	7	0	0	0	0	0	0	0	0	23	74
NCU00123	NCU00123	NCU00123-t26_1	protein_coding	0	3	8	146	0	0	0	84	0	20	8	0	0	0	0	0	0	0	0	3	42
NCU00124	NCU00124	NCU00124-t26_1	protein_coding	0	26	21	219	4	1	12	99	0	4	21	0	0	0	1	0	0	0	0	24	101
NCU00124	NCU00124	NCU00124-t26_2	protein_coding	0	25	21	199	4	0	0	99	0	4	21	0	0	0	1	0	0	0	0	24	93
NCU00125	NCU00125	NCU00125-t26_1	protein_coding	0	22	11	162	2	0	4	80	0	3	11	0	0	0	1	0	0	0	0	21	74
NCU00125	NCU00125	NCU00125-t26_2	protein_coding	0	21	13	159	1	0	4	79	0	1	13	0	0	0	0	0	0	0	0	21	74
NCU00126	NCU00126	NCU00126-t26_1	protein_coding	0	8	2	206	11	2	17	103	0	0	2	0	0	0	1	0	0	0	0	6	75
NCU00127	NCU00127	NCU00127-t26_1	protein_coding	0	22	7	148	1	2	10	63	0	0	7	0	0	0	0	0	0	0	0	20	74
NCU00128	NCU00128	NCU00128-t26_1	protein_coding	0	21	26	120	0	0	0	56	0	2	26	0	0	0	0	0	0	0	0	21	62
NCU00129	NCU00129	NCU00129-t26_1	protein_coding	0	17	1	127	2	0	4	62	0	0	1	0	0	0	1	0	0	0	0	17	59
NCU00130	NCU00130	NCU00130-t26_1	protein_coding	0	17	3	139	6	0	3	60	0	1	3	0	0	0	0	0	0	0	0	17	69
NCU00130	NCU00130	NCU00130-t26_2	protein_coding	0	17	3	136	6	0	1	60	0	1	3	0	0	0	0	0	0	0	0	17	68
NCU00132	NCU00132	NCU00132-t26_1	protein_coding	0	7	7	146	7	0	7	64	0	3	7	0	0	0	0	0	0	0	0	7	65
NCU00133	NCU00133	NCU00133-t26_1	protein_coding	0	25	1	135	6	0	1	56	0	3	1	0	0	0	2	0	0	0	0	24	70
NCU00134	NCU00134	NCU00134-t26_1	protein_coding	0	35	2	164	8	0	7	75	0	0	2	0	0	0	0	0	0	0	0	35	74
NCU00134	NCU00134	NCU00134-t26_2	protein_coding	0	34	2	153	8	0	1	75	0	0	2	0	0	0	0	0	0	0	0	34	69
NCU00135	NCU00135	NCU00135-t26_1	protein_coding	0	9	6	150	2	0	4	59	0	8	6	0	0	0	2	0	0	0	0	7	79
NCU00135	NCU00135	NCU00135-t26_2	protein_coding	0	8	6	147	2	0	4	59	0	6	6	0	0	0	1	0	0	0	0	7	77
NCU00136	NCU00136	NCU00136-t26_1	protein_coding	0	33	9	127	4	0	2	59	0	2	9	0	0	0	0	0	0	0	0	33	60
NCU00137	NCU00137	NCU00137-t26_1	protein_coding	0	8	3	145	3	0	0	83	0	0	3	0	0	0	0	0	0	0	0	8	59
NCU00137	NCU00137	NCU00137-t26_2	protein_coding	0	5	1	147	4	0	1	81	0	0	1	0	0	0	0	0	0	0	0	5	61
NCU00138	NCU00138	NCU00138-t26_1	protein_coding	1	20	10	143	1	1	10	53	0	1	10	0	0	0	2	0	1	0	0	18	78
NCU00142	NCU00142	NCU00142-t26_1	protein_coding	0	19	10	136	19	0	1	65	0	0	10	0	0	0	0	0	0	0	0	19	51
NCU00143	NCU00143	NCU00143-t26_1	protein_coding	1	3	5	139	0	0	0	62	0	5	5	0	0	0	1	0	1	0	0	2	73
NCU00144	NCU00144	NCU00144-t26_1	protein_coding	0	26	8	203	2	7	60	65	0	9	8	0	0	0	0	0	0	0	0	19	67
NCU00144	NCU00144	NCU00144-t26_2	protein_coding	0	27	8	203	2	7	57	66	0	12	8	0	0	0	1	0	0	0	0	19	67
NCU00145	NCU00145	NCU00145-t26_1	protein_coding	0	8	0	155	9	1	8	77	0	2	0	0	0	0	2	0	0	0	0	5	61
NCU00146	NCU00146	NCU00146-t26_1	protein_coding	0	6	0	151	10	0	7	65	0	3	0	0	0	0	1	0	0	0	0	5	67
NCU00147	NCU00147	NCU00147-t26_1	protein_coding	1	3	1	143	5	0	3	62	0	6	1	0	0	0	0	0	1	0	0	3	67
NCU00148	NCU00148	NCU00148-t26_1	protein_coding	0	14	0	154	17	1	7	68	0	0	0	0	0	0	0	0	0	0	1	12	62
NCU00149	NCU00149	NCU00149-t26_1	protein_coding	0	0	0	142	2	0	9	63	0	0	0	0	0	0	0	0	0	0	0	0	68
NCU00150	NCU00150	NCU00150-t26_1	protein_coding	0	13	3	131	12	2	3	61	0	4	3	0	0	0	1	0	0	0	0	10	52
NCU00150	NCU00150	NCU00150-t26_2	protein_coding	0	15	4	125	7	2	3	59	0	4	4	0	0	0	0	0	0	0	0	13	52
NCU00150	NCU00150	NCU00150-t26_3	protein_coding	0	15	4	128	12	2	3	61	0	0	4	0	0	0	0	0	0	0	0	13	52
NCU00151	NCU00151	NCU00151-t26_1	protein_coding	0	10	1	127	7	1	4	47	0	0	1	0	0	0	0	0	0	0	0	9	69
NCU00152	NCU00152	NCU00152-t26_1	protein_coding	0	27	5	144	12	1	7	63	0	7	5	0	0	0	1	0	0	0	0	25	56
NCU00152	NCU00152	NCU00152-t26_2	protein_coding	0	27	5	136	12	0	0	63	0	6	5	0	0	0	1	0	0	0	0	26	56
NCU00153	NCU00153	NCU00153-t26_1	protein_coding	0	12	0	122	5	0	4	57	0	1	0	0	0	0	1	0	0	0	0	11	56
NCU00154	NCU00154	NCU00154-t26_1	protein_coding	0	23	3	118	0	1	7	38	0	6	3	0	0	0	1	0	0	0	0	21	68
NCU00154	NCU00154	NCU00154-t26_2	protein_coding	1	19	3	101	0	0	0	37	0	1	3	0	0	0	1	0	1	0	0	18	64
NCU00155	NCU00155	NCU00155-t26_1	protein_coding	0	37	3	131	14	1	12	49	0	2	3	0	0	0	0	0	0	0	0	36	54
NCU00157	NCU00157	NCU00157-t26_1	protein_coding	0	9	3	117	1	2	9	63	0	4	3	0	0	0	0	0	0	0	0	7	40
NCU00158	NCU00158	NCU00158-t26_1	protein_coding	0	13	3	125	1	0	0	61	0	3	3	0	0	0	0	0	0	0	0	13	60
NCU00159	NCU00159	NCU00159-t26_1	protein_coding	0	8	2	125	1	1	5	63	0	1	2	0	0	0	0	0	0	0	0	7	55
NCU00160	NCU00160	NCU00160-t26_1	protein_coding	0	3	1	129	2	0	3	53	0	5	1	0	0	0	0	0	0	0	0	3	66
NCU00161	NCU00161	NCU00161-t26_1	protein_coding	0	35	10	141	4	0	2	76	0	1	10	0	0	0	0	0	0	0	0	35	58
NCU00161	NCU00161	NCU00161-t26_2	protein_coding	0	35	11	132	0	0	0	74	0	0	11	0	0	0	0	0	0	0	0	35	58
NCU00162	NCU00162	NCU00162-t26_1	protein_coding	0	23	0	148	3	0	6	67	0	3	0	0	0	0	0	0	0	0	0	23	69
NCU00163	NCU00163	NCU00163-t26_1	protein_coding	0	20	6	147	0	0	0	71	0	6	6	0	0	0	2	0	0	0	0	18	72
NCU00164	NCU00164	NCU00164-t26_1	protein_coding	0	42	7	158	5	1	11	67	0	10	7	0	0	0	4	0	0	0	0	37	69
NCU00166	NCU00166	NCU00166-t26_1	protein_coding	0	9	2	168	2	0	5	75	0	5	2	0	0	0	1	0	0	0	0	8	81
NCU00167	NCU00167	NCU00167-t26_1	protein_coding	0	29	7	177	17	1	6	79	0	3	7	0	0	0	0	0	0	0	0	28	72
NCU00168	NCU00168	NCU00168-t26_1	protein_coding	0	18	0	168	14	1	8	66	0	5	0	0	0	0	2	0	0	0	0	15	77
NCU00169	NCU00169	NCU00169-t26_1	protein_coding	0	26	2	150	4	2	8	77	0	0	2	0	0	0	0	0	0	0	0	24	61
NCU00170	NCU00170	NCU00170-t26_1	protein_coding	0	23	6	128	18	3	10	67	0	3	6	0	0	0	2	0	0	0	0	18	32
NCU00171	NCU00171	NCU00171-t26_1	protein_coding	0	9	2	142	7	2	7	56	0	0	2	0	0	0	0	0	0	0	0	7	72
NCU00172	NCU00172	NCU00172-t26_1	protein_coding	0	31	4	165	8	2	7	73	0	3	4	0	0	0	0	0	0	0	1	28	74
NCU00173	NCU00173	NCU00173-t26_1	protein_coding	0	9	5	153	9	0	2	61	0	3	5	0	0	0	2	0	0	0	0	7	80
NCU00175	NCU00175	NCU00175-t26_1	protein_coding	0	15	6	163	5	3	13	76	0	1	6	0	0	0	0	0	0	0	0	12	68
NCU00176	NCU00176	NCU00176-t26_1	protein_coding	1	2	7	144	0	0	0	65	0	1	7	0	0	0	0	0	1	0	0	2	78
NCU00177	NCU00177	NCU00177-t26_1	protein_coding	0	23	2	152	3	0	1	76	0	0	2	0	0	0	0	0	0	0	0	23	72
NCU00178	NCU00178	NCU00178-t26_1	protein_coding	0	23	3	133	1	2	11	58	0	2	3	0	0	0	0	0	0	0	0	21	61
